Monument,Borough,Location
"
Tenement Building at 97 Orchard Street,Manhattan,"40°43′07″N 73°59′25″W﻿ / ﻿40.7185°N 73.990139°W﻿ / 40.7185; -73.990139﻿ (Tenement Building at 97 Orchard Street)
"
Third Judicial District Courthouse,Manhattan,"40°44′05″N 73°59′57″W﻿ / ﻿40.734722°N 73.999167°W﻿ / 40.734722; -73.999167﻿ (Third Judicial District Courthouse)
"
Tiffany and Company Building,Manhattan,"40°45′00″N 73°58′53″W﻿ / ﻿40.75°N 73.981306°W﻿ / 40.75; -73.981306﻿ (Tiffany and Company Building)
"
Samuel J. Tilden House,Manhattan,"40°44′15″N 73°59′14″W﻿ / ﻿40.7375°N 73.987222°W﻿ / 40.7375; -73.987222﻿ (Samuel J. Tilden House)
"
The Town Hall,Manhattan,"40°45′22″N 73°59′05″W﻿ / ﻿40.755986°N 73.984712°W﻿ / 40.755986; -73.984712﻿ (The Town Hall) 40°45′22″N 73°59′05″W﻿ / ﻿40.755986°N 73.984712°W﻿ / 40.755986; -73.984712﻿ (The Town Hall)
"
Triangle Shirtwaist Factory,Manhattan,"40°43′48″N 73°59′45″W﻿ / ﻿40.730011°N 73.995817°W﻿ / 40.730011; -73.995817﻿ (Triangle Shirtwaist Factory)
"
Trinity Church,Manhattan,"40°42′29″N 74°00′44″W﻿ / ﻿40.708056°N 74.012222°W﻿ / 40.708056; -74.012222﻿ (Trinity Church)
"
Old New York County Courthouse,Manhattan,"40°42′47″N 74°00′22″W﻿ / ﻿40.713167°N 74.006°W﻿ / 40.713167; -74.006﻿ (Old New York County Courthouse)
"
Union Square,Manhattan,"40°44′08″N 73°59′26″W﻿ / ﻿40.735556°N 73.990556°W﻿ / 40.735556; -73.990556﻿ (Union Square)
"
United Charities Building,Manhattan,"40°44′22″N 73°59′11″W﻿ / ﻿40.739389°N 73.986389°W﻿ / 40.739389; -73.986389﻿ (United Charities Building)
"
United Workers Cooperatives,Bronx,"40°51′59″N 73°52′11″W﻿ / ﻿40.866389°N 73.869722°W﻿ / 40.866389; -73.869722﻿ (United Workers Cooperatives)
"
U.S. Customhouse,Manhattan,"40°42′15″N 74°00′50″W﻿ / ﻿40.704294°N 74.013773°W﻿ / 40.704294; -74.013773﻿ (U.S. Customhouse)
"
University Heights Campus (Bronx Community College of the City University of New York),Bronx,"40°51′28″N 73°54′44″W﻿ / ﻿40.857778°N 73.912222°W﻿ / 40.857778; -73.912222﻿ (University Heights Campus (Bronx Community College of the City University of New York))
"
Van Cortlandt House,other,"Cortlandt Park 40°53′24″N 73°53′47″W﻿ / ﻿40.89°N 73.896389°W﻿ / 40.89; -73.896389﻿ (Van Cortlandt House)
"
Voorlezer's House,other,"40°34′17″N 74°08′51″W﻿ / ﻿40.571417°N 74.1475°W﻿ / 40.571417; -74.1475﻿ (Voorlezer's House)
"
Wards Point Archeological Site,other,"40°29′56″N 74°15′07″W﻿ / ﻿40.498889°N 74.251944°W﻿ / 40.498889; -74.251944﻿ (Wards Point Archeological Site)
"
Woodlawn Cemetery,Bronx,"40°53′21″N 73°52′24″W﻿ / ﻿40.889167°N 73.873333°W﻿ / 40.889167; -73.873333﻿ (Woodlawn Cemetery)
"
Woolworth Building,Manhattan,"40°42′44″N 74°00′29″W﻿ / ﻿40.712222°N 74.008056°W﻿ / 40.712222; -74.008056﻿ (Woolworth Building)
"
Wyckoff House,Brooklyn,"40°38′40″N 73°55′15″W﻿ / ﻿40.644342°N 73.920777°W﻿ / 40.644342; -73.920777﻿ (Wyckoff House)
"
Wyckoff-Bennett Homestead,Brooklyn,"40°36′39″N 73°57′05″W﻿ / ﻿40.610851°N 73.951265°W﻿ / 40.610851; -73.951265﻿ (Wyckoff-Bennett Homestead)
"
